N S BAAZAR
Phone No: 7002445877


Stock Summary Report
Dated: 09/11/2018 - 15/04/2027
Total Stock Value: 3528266679.44
Total Stock Quantity: 40230384.78569999 PCS


Name,Batch No.,Item Code,Purchase Price,Selling Price,Stock Quantity,Stock Value,Item Category Name,MRP,SALES PRICE WITH TAX
JEERA 100G 100 GM,,8901786241019,72.86,89.0,0.0 PCS,0.0,"",91.0,""
JEERA JAR 200G 200 GM,,8901786242016,169.71,189.0,9.0 PCS,1527.39,"",212.0,""
JEERA WONDER 186 GM,,8901928692006,22.96,26.0,24.0 PCS,551.04,"",27.0,""
JEERA WOUDER 300 GM,,8901928692501,37.83,48.0,0.0 PCS,0.0,"",50.0,""
JELLY ROLLZ 1 U,,"",4.25,5.0,35.0 PCS,148.75,"",5.0,""
JELLY STICK 1 N,,6985523101745,15.83,25.0,1.0 PCS,15.83,"",25.0,""
JIM JAM,,8901063029248,3.0,4.5,142.0 PCS,426.0,"",4.5,""
JIMJAM 138GM,,8901063029279,31.25,35.0,13.0 PCS,406.25,"",36.0,""
JIMJAM 57GM,,8901063029255,7.81,10.0,64.0 PCS,499.84,"",9.0,""
JIMJAM NAUGHTY JAM 150 GM,,8901063029415,34.73,38.0,24.0 PCS,875.2,"",40.0,""
JIMJAM NAUGHTY JAM 62 GM,,8901063029408,8.68,10.0,3.0 PCS,26.04,"",10.0,""
JIMJAM POPS 20/- 70 GM,,8901063029309,15.45,19.0,1.0 PCS,15.45,"",20.0,""
JIMJAM POPS 35GM,,8901063029293,7.73,10.0,11.0 PCS,85.03,"",10.0,""
JIYO ALMOND 50 GM,,"",40.0,45.0,-2.0 PCS,-80.0,"",60.0,""
JIYO KAJU 100 GM,,8906142110039,91.0,95.0,182.0 PCS,16562.0,"",160.0,""
JIYO KAJU 250 GM,,KAJU 250GM,200.0,229.0,8.0 PCS,1600.0,"",300.0,""
JIYO KAJU 50 GM,,8906142110046,43.5,50.0,-18.0 PCS,-783.0,"",80.0,""
JIYO KAJU 500 GM 500 GM,,"",405.0,430.0,-1.0 PCS,-405.0,"",540.0,""
JK AJWAN WHOLE 50GM,,8904104703053,23.81,28.0,0.0 PCS,0.0,"",30.0,""
JK CLOVE 25 GM,,8904104752341,51.43,60.0,0.0 PCS,0.0,"",65.0,""
JK CLOVE 5 GM,,"",7.62,10.0,0.0 PCS,0.0,"",10.0,""
JK CLOVE 5 GM,,8904104781006,7.62,10.0,9.0 PCS,68.58,"",10.0,""
JK COCONUT POWDER 100 GM,,8904104771007,51.91,60.0,1.0 PCS,51.91,"",68.0,""
JK CTC TEA 250 GM,,8904104721033,81.0,90.0,0.0 PCS,0.0,"",98.0,""
JK DHANIA WHOLE 100 GM,,"",30.5,35.0,48.0 PCS,1464.0,"",40.0,""
JK DHANIYA WHOLE 100 GM,,8904104710044,30.5,36.0,2.0 PCS,61.0,"",40.0,""
JK DRY GINGER POWDER 50 GM,,8904104771700,38.0,45.0,4.0 PCS,152.0,"",48.0,""
JK ELAICHI 2 G,,8904104781112,7.62,10.0,3.0 PCS,22.86,"",10.0,""
JK ELAICHI 25 GM,,8904104752303,121.91,145.0,0.0 PCS,0.0,"",160.0,""
JK JAGGERY POWDER 500 GM,,8907876001686,83.81,100.0,1.0 PCS,83.81,"",110.0,""
JK JAIPHAL WHOLE 25 GM,,8904104771915,41.91,50.0,8.0 PCS,335.28,"",55.0,""
JK JEERA WHOLE 100 GM,,8904104701042,67.14,75.0,60.0 PCS,4028.4,"",88.0,""
JK KALA JEERA 100 GM,,8904104709048,43.43,50.0,30.0 PCS,1302.9,"",57.0,""
JK KALA JEERA 50 GM,,8904104709055,22.9,28.0,44.0 PCS,1007.6,"",30.0,""
JK KASHMIRI LAL MIRCH 50GM,,8904104725529,41.43,50.0,6.0 PCS,248.58,"",54.0,""
JK KESAR 1GM,,8904104780016,259.05,299.0,2.0 PCS,518.1,"",340.0,""
JK PANCH FORAN 50 GM,,8904104725055,21.0,25.0,17.0 PCS,357.0,"",27.0,""
JK PINK SALT 200 GM,,8904104770703,28.0,32.0,0.0 PCS,0.0,"",35.0,""
JK RADHUNI 50 GM,,8904104775128,30.5,38.0,34.0 PCS,1037.0,"",40.0,""
JK SABUDANA SMALL 250 GM,,8904104724034,38.1,45.0,0.0 PCS,0.0,"",50.0,""
JK SOUNF 100 GM,,8904104702049,63.34,70.0,20.0 PCS,1266.8,"",80.0,""
JK SOYA BARI 100 GM,,8904104731032,16.2,19.0,0.0 PCS,0.0,"",20.0,""
JK SUPER GARAM MASALA 50 GM,,https://www.jkcart.com/,63.34,70.0,39.0 PCS,2470.26,"",80.0,""
JK TEJ PATTA 50 GM,,8904104752310,22.86,28.0,84.0 PCS,1920.24,"",30.0,""
JK URAD BORI 200 GM,,8904104776682,70.1,80.0,1.0 PCS,70.1,"",92.0,""
JK WHITE TILL 100 GM,,8904104779300,41.91,50.0,0.0 PCS,0.0,"",55.0,""
JO ALMOND & CREAM 160 GM,,8903105000826,24.5,28.0,30.0 PCS,735.0,"",30.0,""
JO LIME & GLYCERINE 500 GM,,8901399031397,83.81,99.0,-1.0 PCS,-83.81,"",115.0,""
JO LIME & GLYCERINE 500 GM,,8901399031403,76.19,99.0,29.0 PCS,2209.51,"",115.0,""
JO LIME SOAP 170 GM,,8903105000819,20.76,29.0,-4.0 PCS,-83.04,"",30.0,""
JO NEEM ALOEVERA & TULSI 170 GM,,8903105000857,21.9,29.0,73.0 PCS,1598.7,"",30.0,""
JOHNSON S LOTION 100ML,,8901012116845,93.82,109.0,8.0 PCS,750.56,"",115.0,""
JOHNSON S MILK LOTION 100 ML,,"",94.58,119.0,0.0 PCS,0.0,"",125.0,""
JOHNSON SBABY LOTION 50GM,,8901012116838,42.74,56.0,4.0 PCS,170.96,"",60.0,""
JOHNSONS BABY LOTION 200 ML,,8901012116852,158.9,199.0,12.0 PCS,1906.8,"",210.0,""
JOHNSONS BABY POWDER 50 GM,,8901012100516,60.0,65.0,0.0 PCS,0.0,"",70.0,""
JOHNSONS MILK RICE LOTION 200 ML,,8901012116975,170.25,219.0,2.0 PCS,340.5,"",225.0,""
JOHNSONS MILK+RICE 100 GM,,8901012117019,158.9,205.85,0.0 PCS,0.0,"",225.0,""
JOHNSONS MILK+RICE 30 GM,,8901012116999,56.25,71.0,1.0 PCS,56.25,"",75.0,""
JOHNSONS MILK+RICE 50 GM,,8901012117002,74.15,99.0,-3.0 PCS,-222.45,"",105.0,""
JOHNSONS POWDER 100 GM,,8901012100523,110.0,125.0,9.0 PCS,990.0,"",130.0,""
JOVIA SOAP 5IN 1 5N,,[M]8902102231844,86.0,99.0,-1.0 PCS,-86.0,"",115.0,""
JOVIA SOAP 5IN 1 5N,,8902102231844,86.0,99.0,4.0 PCS,344.0,"",115.0,""
JOWAR ATTA 500 GM,,8906112668805,90.0,100.0,2.0 PCS,180.0,"",110.0,""
JOY COCOA RICH 400 ML,,8904035422108,244.08,300.0,0.0 PCS,0.0,"",499.0,""
JOY HELLO SUN 120 ML,,8904035422986,230.73,290.0,2.0 PCS,461.46,"",480.0,""
JOY HELLO SUN 300 ML,,8904035417074,182.66,230.0,4.0 PCS,730.64,"",380.0,""
JOY HONEY & ALMOND 300 ML,,8904035416039,149.01,190.0,0.0 PCS,0.0,"",310.0,""
JOY HONEY & ALMONDS 750 ML,,8904035422092,323.46,390.0,1.0 PCS,323.46,"",650.0,""
JOY PURE ALOE BRIGHT 300 ML,,8904035419221,178.2,240.0,7.0 PCS,1247.4,"",330.0,""
JOY SKIN FRUITS FRUIT 200 ML,,8904035416626,120.36,150.0,2.0 PCS,240.72,"",280.0,""
JOY SKIN FRUITS LEMON 150 ML,,8904035420807,112.51,150.0,1.0 PCS,112.51,"",230.0,""
JOY THAKUR AGARBATTI 1N,,8906037220621,7.67,10.0,74.0 PCS,567.58,"",15.0,""
JOY UBTAN FACE WASH 150 ML,,8904035425154,129.63,160.0,0.0 PCS,0.0,"",265.0,""
JOYGURU NAMKEEN 100 GM,,No.22556677,15.5,20.0,-247.0 PCS,-3828.5,"",20.0,""
JOYGURU NAMKEEN BIG PACKET 250 GM,,"",40.0,50.0,2.0 PCS,80.0,"",60.0,""
JOYRAM SOAP 1 PC,,"",46.0,50.0,293.0 PCS,13478.0,"",60.0,""
JR HORLICKS POUCH 450GRAM,,8909106043916,185.19,200.0,6.0 PCS,1111.14,"",210.0,""
JR. HORLICKS VANILLA JAR 500 GM,,8901030820014,272.49,285.0,6.0 PCS,1716.69,"",294.0,""
JUI CHAMPA AGARBATTI 15 GM,,8906055772157,7.14,10.0,0.0 PCS,0.0,"",15.0,""
JUI MOGRA AGARBATTI 15 GM,,8906055770344,7.14,10.0,0.0 PCS,0.0,"",15.0,""
JUICY DROPS 1 N,,6976541223557,7.33,10.0,0.0 PCS,0.0,"",10.0,""
JUICY DROPS 1 N,,8901058001709,7.33,10.0,60.0 PCS,439.8,"",10.0,""
JUMBO APPALAM PAPAD 90 GM,,"",20.0,25.0,-26.0 PCS,-520.0,"",30.0,""
JUNIOR HORLICKS CHOCOLATE JAR 500 GM,,8901030820052,268.96,295.0,6.0 PCS,1694.45,"",305.0,""
JUNIOR HORLICKS CHOCOLATE POUC 400 GRAM,,8901030915864,185.19,205.0,7.0 PCS,1296.33,"",210.0,""
JUZT JELLY 225 N,,8901393025118,192.0,212.0,8.0 PCS,1536.0,"",225.0,""
K CORN FLOWER 1 KG,,"",70.0,80.0,0.0 PCS,0.0,"",100.0,""
K METHI 25G 25 GM,,8901786280254,24.0,29.0,26.0 PCS,624.0,"",30.0,""
K ONE A 4,,"",208.0,220.0,49.0 PCS,10192.0,"",250.0,""
K-B- O MB FUSION 70 GM,,8906090576901,43.0,47.0,2.0 PCS,86.0,"",50.0,""
KABULI CHANA LOOSE 1 KG,,"",98.0,110.0,9937.99 PCS,973923.02,"",140.0,""
KAJU 1 KG 1 KG,,KAJU 1KG,820.0,870.0,0.0 PCS,0.0,"",1160.0,""
KAJU 500GM 500GM,,"",410.0,460.0,1.0 PCS,410.0,"",540.0,""
KAJU CORNFLAKES MIX 150 GM,,820294212589,54.0,60.0,-2.0 PCS,-108.0,"",63.0,""
KAJU CORNFLAKES MIX 350 GM,,"",120.0,130.0,0.0 PCS,0.0,"",140.0,""
KAJU LACHHA MIXTURE 150 GM,,820294212619,54.0,60.0,-1.0 PCS,-54.0,"",63.0,""
KAJU LOOSE 1 KG,,"",810.0,900.0,1.81 PCS,1466.1,"",1000.0,""
KAJU MIXTURE 200 GM,,8904063200167,73.17,89.0,0.0 PCS,0.0,"",95.0,""
KALA JEERA LOOSE 1 KG,,"",320.0,450.0,8.883 PCS,2842.56,"",500.0,""
KALA TILL 1 KG,,"",100.0,160.0,230.345 PCS,23034.5,"",200.0,""
KALIJEERA RICE LOOSE 1 KG,,"",100.0,120.0,4.45 PCS,445.0,"",160.0,""
KALMI DATES SAFAWI,,8906019776894,325.0,370.0,3.0 PCS,975.0,"",695.0,""
KAMASUTRA LONGLAST SYNC 20 N,,8901157126112,180.0,250.0,3.0 PCS,540.0,"",360.0,""
KASHMIRI LAL 50G 50 GM,,8901786410507,44.0,49.0,-4.0 PCS,-176.0,"",55.0,""
KASHMIRI MIRCH GROUND 50G 50 GM,,8901781000659,53.33,60.0,69.0 PCS,3863.76,"",70.0,""
KASHMIRI MIXTURE 200 GM,,8904063200174,69.32,85.0,0.0 PCS,0.0,"",90.0,""
KASHMIRILAL CHILI 8 GM,,"",7.62,10.0,70.0 PCS,533.4,"",10.0,""
KASMIRI LAL EVR 7 GM,,"",8.0,10.0,58.0 PCS,464.0,"",10.0,""
KASTURI AGARBATTI 90 GM,,8906038980579,37.5,45.0,0.0 PCS,0.0,"",60.0,""
KASTURI MUSTARD OIL BOTTLE 1 LTR,,8908009331007,163.81,178.0,8.0 PCS,1310.48,"",199.0,""
KASTURI MUSTARD OIL JAR 5 LTR,,8908021905101,857.14,930.0,0.0 PCS,0.0,"",1100.0,""
KASTURI MUSTARD OIL POUCH 1 LTR,,8908009331014,160.0,170.0,1.0 PCS,160.0,"",217.0,""
KASURI METHI 25G 25 GM,,8901781001328,20.95,25.0,61.0 PCS,1341.85,"",27.0,""
KEEKOO MASALA NOODLES 1N,,8906022281392,7.29,10.0,7.0 PCS,51.03,"",10.0,""
KELLOGGIS CHOCOS 375 GM,,8901499010742,180.88,193.0,8.0 PCS,1447.04,"",199.0,""
KELLOGGS MULTI GRAIN CHOCOS,,8901499010773,190.0,199.0,4.0 PCS,760.0,"",209.0,""
KELLOGGS OATS 400 GM,,8901499011213,80.92,85.0,-8.0 PCS,-647.36,"",89.0,""
KELLOGGS OATS JAR 1 KG,,8901499010995,235.83,249.0,-1.0 PCS,-235.83,"",260.0,""
KELLOGS CORN FLAKES 251 GM,,8901499009135,78.67,85.0,32.0 PCS,2517.44,"",88.0,""
KELLOGS CORN FLAKES ORIG 475 GM,,8901499008190,169.08,180.0,0.0 PCS,0.0,"",186.0,""
KELLOGS CORNFLAKES 990 GM,,8901499008893,322.92,340.0,3.0 PCS,968.76,"",355.0,""
KELLOGS M.G. CHOCOS 127 GM,,8901499010704,63.61,68.0,50.0 PCS,3180.5,"",70.0,""
KELLOGS M.G. CHOCOS 250 GM,,8901499010711,123.63,130.0,6.0 PCS,741.78,"",136.0,""
KELOGGS OATS POUCH 1 KG,,8901499011220,179.17,189.0,24.0 PCS,4300.08,"",199.0,""
KEO KARPIN H.O 300 ML,,8906014201407,115.56,125.0,35.0 PCS,4246.83,"",135.0,""
KEO KARPIN H.O 500 ML,,8906014201506,165.71,180.0,2.0 PCS,331.42,"",200.0,""
KEO KARPIN HAIR OIL 100 ML,,8906014201209,40.48,48.0,46.0 PCS,1862.08,"",50.0,""
KEO KARPIN HAIR OIL 200 ML,,8906014201308,77.04,85.0,53.0 PCS,4287.28,"",90.0,""
KEO KARPIN OLIVOYL 100 ML,,8906014204101,43.08,52.0,33.0 PCS,1677.54,"",60.0,""
KEO KARPIN OLIVOYL 200 ML,,8906014204200,78.99,99.0,40.0 PCS,3728.33,"",110.0,""
KEO KARPIN OLIVOYL 300 ML,,8906014204309,107.72,139.0,24.0 PCS,3050.63,"",150.0,""
KEO KARPIN OLIVOYL 500 ML,,8906014204507,168.76,199.0,21.0 PCS,4181.87,"",235.0,""
KESAR BAATI 1 KG,,810086030880,195.0,230.0,1.0 PCS,195.0,"",360.0,""
KESAR BADAM 180 ML,,8906023416656,17.33,19.0,7.0 PCS,121.31,"",19.0,""
KESAR FACE GEL 100 ML,,8901138848477,60.95,85.0,10.0 PCS,609.5,"",90.0,""
KESAR FACE WASH 50 ML,,8901138819675,69.33,89.0,2.0 PCS,138.66,"",90.0,""
KESAR KASTURI AGARBATTI 100 GM,,8906055771686,37.3,49.0,0.0 PCS,0.0,"",60.0,""
KESH KING ANTI-HAIRFALL COND 200 ML,,8901248246033,157.43,180.0,1.0 PCS,157.43,"",200.0,""
KESH KING GOLD A-H SHAMPOO 200 ML,,8901248240628,120.68,140.0,1.0 PCS,120.68,"",159.0,""
KESH KING GOLD A-H SHAMPOO 80 ML,,8901248240611,55.89,65.0,1.0 PCS,55.89,"",69.0,""
KETLEY GOLD 250 GM,,6400691668796,50.0,57.0,40.0 PCS,2000.0,"",90.0,""
KEYA CANDLE 10 1 N,,"",7.0,10.0,-74.0 PCS,-518.0,"",12.0,""
KEYA CANDLES MINI SET 10 PCTS,,"",38.33,45.0,35.0 PCS,1341.55,"",50.0,""
KEYA CANDLES WHITE BIG,,"",22.0,27.0,112.0 PCS,2464.0,"",60.0,""
KEYA CANDLES YELLOW BIG,,"",32.0,36.0,81.0 PCS,2592.0,"",50.0,""
KHARI CLASSIC PUFF 200 GM,,8904063254603,53.73,70.0,0.0 PCS,0.0,"",80.0,""
KHARI JEERA PUFF 200 GM,,8904063254627,53.73,70.0,0.0 PCS,0.0,"",80.0,""
KHARI METHI PUFF 200 GM,,8904063254597,53.73,70.0,0.0 PCS,0.0,"",80.0,""
KHARI MULTIGRAIN PUFF 200 GM,,8904063202109,60.45,80.0,0.0 PCS,0.0,"",90.0,""
KHATTA MEETHA 205 GM,,8904063218100,40.0,47.0,7.0 PCS,280.0,"",50.0,""
KHATTA MEETHA 400 GM,,820294212862,97.0,110.0,-3.0 PCS,-291.0,"",120.0,""
KHATTA MEETHA 75 GM,,8904063254726,14.58,19.0,1.0 PCS,14.58,"",20.0,""
KHATTA MITHA 170 GM,,820294212510,48.0,55.0,-5.0 PCS,-240.0,"",63.0,""
KHOI 1 KG,,"",80.0,100.0,14.55 PCS,1164.0,"",120.0,""
KHOI LOOSE NEW 1KG,,"",80.0,120.0,13.68 PCS,1094.4,"",130.0,""
KHURMA,,"",16.0,20.0,-64.0 PCS,-1024.0,"",20.0,""
KHURMA SMALL 1 PACKET,,"",8.0,10.0,6.0 PCS,48.0,"",10.0,""
KIDODENT B.GUM 60 GM,,8908024408029,91.91,119.0,5.0 PCS,459.55,"",135.0,""
KIDODENT BRUSH 1 PC,,8908024408142,50.29,60.0,19.0 PCS,955.51,"",66.0,""
KILLER HAND WASH 450 ML,,8905935348192,180.0,240.0,0.0 PCS,0.0,"",299.0,""
KIMIA DATES 500 GM,,8906140204006,230.0,270.0,12.0 PCS,2760.0,"",350.0,""
KIMIA DATES TUB,,8939118245336,195.0,230.0,3.0 PCS,585.0,"",350.0,""
KINDER JOY BOY 20 GM,,80135890,37.83,49.0,12.0 PCS,453.96,"",50.0,""
KINDER JOY GIRL 20 GM,,80768258,45.0,49.0,0.0 PCS,0.0,"",50.0,""
KING CHILLI PICKLE 45 GM,,8906083912860,17.0,20.0,115.0 PCS,1955.0,"",20.0,""
KING SOYA 420ML,,8906007284011,61.19,69.0,20.0 PCS,1223.8,"",85.0,""
KING STAR PREMIUM DATES 500 GM,,"",145.0,169.0,4.0 PCS,580.0,"",200.0,""
KINGS 99 750ML,,8906008819670,115.0,120.0,17.0 PCS,1955.0,"",149.0,""
KINGS SOYABEAN OIL BOTTLE 750ML,,8906007284028,125.5,140.0,-10.0 PCS,-1255.0,"",190.0,""
KIRTHIDHARA CORN FLOUR 1 KG,,8904694821458,65.0,80.0,17.0 PCS,1105.0,"",100.0,""
KISMI DAL CHINI 81.25 GM,,8901719129872,7.7,8.0,11.0 PCS,84.7,"",8.9,""
KISMIS LOOSE 1 KG,,"",410.0,460.0,6.42 PCS,2632.2,"",650.0,""
KISSAN C.H KETCHUP 200 GM,,8901030926525,58.54,70.0,0.0 PCS,0.0,"",72.0,""
KISSAN F.T KETCHUP 1 KG,,8901030699085,138.93,160.0,0.0 PCS,0.0,"",170.0,""
KISSAN F.T KETCHUP 200 GM,,8901030532832,56.79,68.0,4.0 PCS,227.16,"",70.0,""
KISSAN F.T KETCHUP 500 GM,,8901030532719,97.86,110.0,0.0 PCS,0.0,"",112.0,""
KISSAN F.T. KETCHUP 415 GM,,8901030921797,43.69,49.0,8.0 PCS,349.52,"",50.0,""
KISSAN FRESH TOMATO KETCHUP 90 GM,,8901030897542,12.29,15.0,0.0 PCS,0.0,"",15.0,""
KISSAN HAZELNUT CHOCO 350 GM,,8901030944376,196.59,219.0,0.0 PCS,0.0,"",239.0,""
KISSAN JUICY GRAPE SQUASH 750 ML,,8901030634444,143.29,150.0,4.0 PCS,573.16,"",175.0,""
KISSAN MANGO JAM 200 GM,,8901030930355,83.01,99.0,12.0 PCS,1045.93,"",95.0,""
KISSAN MANGO JAM 490G 490 GM,,8901030926471,174.75,199.0,11.0 PCS,2018.36,"",210.0,""
KISSAN MANGO SQUASH 750 ML,,8901030634468,143.29,149.0,5.0 PCS,716.45,"",164.0,""
KISSAN MIX FRUIT JAM 200 GM,,8901030831690,69.9,79.0,27.0 PCS,1981.67,"",80.0,""
KISSAN MIX FRUIT JAM TUB 90 GM,,8901030922787,21.84,24.0,63.0 PCS,1375.92,"",25.0,""
KISSAN MIX FRUIT JAR 500 GM,,8901030831706,166.01,189.0,13.0 PCS,2266.04,"",190.0,""
KISSAN ORANGE JAM 500 GM,,8901030926457,174.75,190.0,7.0 PCS,1284.41,"",200.0,""
KISSAN ORANGE SQUASH 750 ML,,8901030785962,143.29,149.0,0.0 PCS,0.0,"",164.0,""
KISSAN PEANUT BUTTER 350 GM,,8901030980046,144.17,155.0,7.0 PCS,1009.19,"",175.0,""
KISSAN PEANUT BUTTER 500GM,,8901030980053,160.0,169.0,0.0 PCS,0.0,"",175.0,""
KISSAN PINEAPPLE JAM 500 GM,,8901030926464,174.75,199.0,12.0 PCS,2201.85,"",200.0,""
KIT KAT 2+3FINGERS 57 GM,,8901058905113,43.29,50.0,23.0 PCS,995.67,"",50.0,""
KIT KAT 4FINGERS 38.5,,8901058903164,25.97,34.0,25.0 PCS,649.25,"",30.0,""
KIT KAT MINI 11.9 GM,,8901058005233,8.66,10.0,161.0 PCS,1394.26,"",10.0,""
KITE MY CHOICE PEN UNIQUE 1 PC,,"",3.0,5.0,4.0 PCS,12.0,"",5.0,""
KITKAT 2 FINGERS 19 GM,,8901058016116,17.32,20.0,1.0 PCS,17.32,"",20.0,""
KITKAT 22.1GM,,8901058015171,17.32,20.0,11.0 PCS,190.52,"",20.0,""
KITKAT 25/- 28.5 GM,,8901058904741,21.65,25.0,28.0 PCS,606.2,"",25.0,""
KITKAT BREAK 7.4GM,,"",4.5,5.0,11.0 PCS,49.5,"",5.0,""
KITKAT CARAMEL CHOCOLATE 50 GM,,8901058852141,68.4,86.0,0.0 PCS,0.0,"",90.0,""
KITKAT DARK 50 GM,,8901058014341,72.6,85.0,-8.0 PCS,-580.8,"",85.0,""
KITKAT MINI 13.2 GM,,8901058024401,8.66,10.0,-26.0 PCS,-225.16,"",10.0,""
KITKAT RICH CHOCO 50 GM,,"",85.0,90.0,17.0 PCS,1445.0,"",90.0,""
KITKAT SHARE 57GM,,8901058012347,45.0,50.0,13.0 PCS,585.0,"",50.0,""
KIWI DRANEX 50 GM,,8906006432598,23.11,30.0,0.0 PCS,0.0,"",30.0,""
KIWI INS POLISH BLACK 75 ML,,8904271201116,104.0,130.0,2.0 PCS,208.0,"",135.0,""
KIWI NEUTRAL POLISH 75 ML,,8904271201130,104.0,115.0,2.0 PCS,208.0,"",135.0,""
KIWI SHOE BRUSH 2IN1,,8906006432482,73.19,80.0,8.0 PCS,585.52,"",95.0,""
KIWI SHOE BRUSH SHINE 1 PC,,8906006432499,57.78,70.0,10.0 PCS,577.8,"",75.0,""
KNORR GREEN CHILLI SAUCE 200 GM,,8901030966156,49.15,58.0,1.0 PCS,49.15,"",60.0,""
KNORR RED CHILLI SAUCE 200 GM,,8901030966149,49.1,58.0,4.0 PCS,196.4,"",60.0,""
KNORR SCHEZWAN SAUCE 200 GM,,8901030987007,57.34,60.0,3.0 PCS,172.02,"",70.0,""
KODUR TEL 100 ML,,"",54.17,60.0,70.0 PCS,3791.9,"",60.0,""
KOFLET-H 6 TABLETS,,8901138009731,20.95,30.0,17.0 PCS,356.15,"",30.0,""
KOHINOOR BASMATI RICE 1 KG,,"",105.0,112.0,90.0 PCS,9450.0,"",150.0,""
KOPIKO CANDY JAR 240 PCS,,8907459000846,190.92,220.0,12.0 PCS,2405.59,"",240.0,""
KOPIKO COFFEE POP 7 GM,,8998666003720,3.67,5.0,348.0 PCS,1277.16,"",5.0,""
KOPIKO JAR 240 PC,,8907459000532,179.48,200.0,10.0 PCS,1794.8,"",216.0,""
KOREAN KIMCHI 80 GM,,"",47.0,50.0,0.0 PCS,0.0,"",55.0,""
KOREAN RAMEN 112 GM,,"",77.0,90.0,10.0 PCS,770.0,"",99.0,""
KOREAN SPICY VEG 80 GM,,"",47.0,50.0,5.0 PCS,235.0,"",55.0,""
KRACKJACK 226.8 GM,,8901719135309,29.76,39.0,24.0 PCS,714.24,"",35.0,""
KRACKJACK MED 113.4 GM,,8901719135279,15.89,17.8,20.0 PCS,336.87,"",17.8,""
KRISHNA GAS LIGHTER 1 PC,,"",60.0,90.0,39.0 PCS,2340.0,"",160.0,""
KS SUPER JEERA WHOLE 1 KG,,"",290.0,399.0,2.0 PCS,580.0,"",600.0,""
KSHEER COW GHEE 1 LTR,,8901389400288,535.71,649.0,0.0 PCS,0.0,"",910.0,""
KSHEER COW GHEE 500 ML,,8901389400271,267.86,339.0,0.0 PCS,0.0,"",375.0,""
KSHEER PANEER 200 GM,,8901389400806,51.0,60.0,14.0 PCS,714.0,"",75.0,""
KSHEER PANEER 825 825GM,,8901389400820,160.0,170.0,15.0 PCS,2400.0,"",225.0,""
KSHEER PANNER 450 450 GM,,8901389400813,94.0,108.0,24.0 PCS,2256.0,"",170.0,""
KUKON KASUNDI SAUCE 700 GM,,9101871881796,50.0,60.0,3.0 PCS,150.0,"",85.0,""
KURKURE MASALA MUNCH 32 GM,,8901491361026,8.12,10.0,10.0 PCS,81.2,"",10.0,""
KURKURE MASALA MUNCH 65 GM,,8901491100519,16.23,20.0,18.0 PCS,292.14,"",20.0,""
KURKURE PUFFCORN 50 GM,,8901491366052,16.23,20.0,4.0 PCS,64.92,"",20.0,""
LABOLIA GLYCERIN SOLUTION 110 GM,,8906045944953,55.93,70.0,3.0 PCS,167.79,"",115.0,""
LABOUR/DELIVERY CHARGE,,"",0.0,20.0,2.0 PCS,0.0,"",0.0,""
LACHCHA SEMAI 200 GM,,831730006594,32.5,38.0,-18.0 PCS,-585.0,"",40.0,""
LACTOGEN PEO 1 TIN 200 GM,,8901058008708,200.51,249.0,0.0 PCS,0.0,"",265.0,""
LACTOGEN PRO 1 400 GM,,8901058905267,393.18,420.0,11.0 PCS,4541.23,"",440.0,""
LACTOGEN PRO 2 400 GM,,8901058008906,393.18,420.0,12.0 PCS,4954.07,"",450.0,""
LACTOGEN PRO 3 400 GM,,8901058901627,393.18,430.0,4.0 PCS,1572.72,"",450.0,""
LACTOGEN PRO 4 400 GM,,8901058901641,393.18,430.0,4.0 PCS,1651.36,"",450.0,""
LAKME 9-5 CC CREAM 9 GM,,"",85.49,110.0,3.0 PCS,256.47,"",115.0,""
LAKME 9-5 KAJAL 0.35 GM,,8901030979446,135.82,189.0,1.0 PCS,135.82,"",210.0,""
LAKME 9-5 SUN EXPERT 100 GM,,8909106026469,390.25,490.0,2.0 PCS,780.5,"",625.0,""
LAKME 9TO5 50 ML,,8901030978777,186.69,249.0,3.0 PCS,560.07,"",299.0,""
LAKME B&G FACE WASH 50 GM,,8901030994739,96.64,120.0,-4.0 PCS,-386.56,"",130.0,""
LAKME B&G FACEWASH 50 GM,,8901030994753,96.64,120.0,1.0 PCS,96.64,"",130.0,""
LAKME B&G STRAWBERRY 50 GM,,8901030860492,96.64,119.0,21.0 PCS,2029.44,"",130.0,""
LAKME BLUSH&GLOW FACEWASH 50 GM,,"",96.64,120.0,5.0 PCS,483.2,"",130.0,""
LAKME CC CREAM 9 GM,,8901030978166,85.49,105.0,10.0 PCS,854.9,"",115.0,""
LAKME CC CREAM 9 GM,,8909106050792,85.49,109.0,20.0 PCS,1709.8,"",115.0,""
LAKME FOUNDATION 27 ML,,8901030981593,167.26,209.0,2.0 PCS,334.52,"",225.0,""
LAKME PEACH MILK MINI 12G,,"",15.0,20.0,0.0 PCS,0.0,"",20.0,""
LAKME PEACH MILK VIT E 60ML,,8901030974335,80.0,95.0,0.0 PCS,0.0,"",99.0,""
LAKME ROSE FACEPOWDER 40 GM,,8901030983658,172.84,219.0,3.0 PCS,518.52,"",250.0,""
LAKME SUN EXPERT 9 GM,,8909106025325,81.77,104.0,5.0 PCS,408.85,"",110.0,""
LAL BADAM LOOSE 1 KG.,,"",131.0,180.0,-6.146 PCS,-805.13,"",200.0,""
LAL BOMBAY HALWA 200 GM,,8906020491649,90.0,110.0,1.0 PCS,90.0,"",125.0,""
